quote_id,degree_id,code
3052,207,Impact
465,207,Fluff
538,213,Skills
2748,216,Mission
1786,216,Skills
2217,216,Industry
2593,216,Requirements
1794,216,Courses
726,214,Mission
3410,214,Impact
327,214,Requirements
327,214,Requirements
2364,214,[!!]
1342,215,Requirements
2676,215,Mission
2340,215,Courses
1854,215,Target group
273,219,Requirements
273,219,Skills
493,219,Courses
2589,221,Requirements
1596,221,Courses
756,221,Requirements
1280,221,Courses
755,221,Requirements
1597,221,Courses
2411,221,Impact
1070,210,Definition
282,210,Definition
3306,210,Definition
2548,210,Mission
3230,210,Ethical issues
1962,210,Courses
240,210,Courses
839,223,Courses
2664,223,Requirements
3021,223,Mission
3114,223,Impact
3369,223,Skills
2111,224,Mission
1093,224,Definition
2142,224,Courses
496,224,Courses
2981,226,Mission
1383,226,Impact
1383,226,Jobs
196,226,Industry
294,226,Impact
294,226,Jobs
202,226,Requirements
294,226,Jobs
294,226,Impact
1420,226,Jobs
1420,226,Impact
148,226,Courses
2343,228,Impact
2343,228,Skills
2066,228,Courses
1888,230,Mission
402,230,Courses
403,230,Courses
404,230,Courses
3020,231,Mission
222,231,Impact
2109,232,Interdisciplinary
1605,232,Skills
1201,232,Jobs
1202,232,Jobs
2670,232,Mission
322,232,Requirements
2633,234,Mission
2633,234,Interdisciplinary
2375,234,Mission
2621,234,Requirements
2817,239,Mission
3384,239,Interdisciplinary
2853,239,Impact
1691,239,Requirements
692,239,Courses
1745,239,Courses
752,239,Requirements
764,239,Courses
940,241,Mission
1530,241,Impact
1478,241,Skills
939,241,Broader impact
1406,241,Impact
2770,241,Impact
2093,241,Requirements
3112,242,Skills
3396,242,Skills
3295,242,Skills
785,242,Ethical issues
3158,242,Courses
691,242,Ethical issues
259,243,Mission
300,243,Target group
299,243,Impact
2237,243,Skills
2494,243,Impact
1434,243,Requirements
3136,243,Courses
1336,246,Courses
825,246,Impact
825,246,Skills
1994,246,Ethical issues
1994,246,Law-policy
2266,246,Skills
