degree_id,degree_level,degree_name,degree_type,degree_url,degree_category,degree_data_sci_flag,department_name,department_type,institution_name,institution_carnegie,institution_state,institution_city
638,certificate,Graduate Certificate in Data Science,Data Science,https://catalog.gmu.edu/colleges-schools/science/computational-data-sciences/data-science-graduate-certificate/,Data,TRUE,Computational and Data Sciences,Data Science,George Mason University,R1,VA,Fairfax
639,certificate,Graduate Certificate in Data Analytics,Data Analytics,https://catalog.gmu.edu/colleges-schools/engineering/data-analytics-graduate-certificate/,Data,FALSE,Volgenau School of Engineering,Engineering (general),George Mason University,R1,VA,Fairfax
641,masters,M.S. in Business Analytics,Business Analytics,https://business.gwu.edu/academics/programs/specialized-masters/ms-business-analytics,Business,FALSE,School of Business,Business/Management,George Washington University,R1,DC,"Washington, DC"
642,certificate,Graduate Certificate in Data Science,Data Science,https://datasci.columbian.gwu.edu/graduate-certificate,Data,TRUE,Columbian College of Arts & Sciences,Interdisciplinary,George Washington University,R1,DC,"Washington, DC"
643,masters,Master of Data Science for Public Policy,Data Science,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,Social,TRUE,McCourt School of Public Policy,Other,Georgetown University,R1,DC,"Washington, DC"
644,certificate,Certificate in Data Science,Data Science,https://scs.georgetown.edu/programs/375/certificate-in-data-science/how-to-apply,Data,TRUE,School of Continuing Studies,Other,Georgetown University,R1,DC,"Washington, DC"
645,masters,Online M.S. in Analytics,Business Analytics,https://pe.gatech.edu/degrees/analytics,Data,FALSE,Professional Education,Other,Georgia Institute of Technology,R1,GA,Atlanta
646,masters,M.S. in Analytics,Data Analytics,https://www.analytics.gatech.edu/,Data,FALSE,"Georgia Institute of Technology,Colleges of Engineering,Business and Computing",Interdisciplinary,Georgia Institute of Technology,R1,GA,Atlanta
648,masters,M.S. in Business Analytics,Business Analytics,https://www.ggu.edu/degrees-and-courses/business-analytics/master-of-science-in-business-analytics,Business,FALSE,Ageno School of Business,Business/Management,Golden Gate University,M1,CA,San Francisco
649,masters,M.S. in Business Analytics,Business Analytics,https://www.gcu.edu/degree-programs/master-science-business-analytics,Business,FALSE,Colangelo College of Business,Business/Management,Grand Canyon University,R3,AZ,Phoenix
650,masters,M.S. in Data Science and Analytics,Data Science,https://www.gvsu.edu/grad/dsa/,Data,TRUE,School of Computing and Information Systems,Interdisciplinary,Grand Valley State University,R3,MI,Allendale
651,masters,Master of Liberal Arts in Data Science,Data Science,https://www.extension.harvard.edu/academics/graduate-degrees/data-science-degree,Data,TRUE,Extension School,Other,Harvard University,R1,MA,Cambridge
652,masters,M.S. in Health Data Science,Data Science,https://www.hsph.harvard.edu/health-data-science/,Health,TRUE,Chan School of Public Health,Health Informatics,Harvard University,R1,MA,Cambridge
653,masters,M.S. in Data Science,Data Science,https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,Data,TRUE,Institute for Applied Computational Science,Computer Science,Harvard University,R1,MA,Cambridge
658,masters,Master of Science in Statistics and Data Analysis,Data Analytics,https://www.uh.edu/nsm/math/graduate/ms-statistics-datascience-outline/,Math,FALSE,Department of Mathematics,Mathematics/Statistics,University of Houston,R1,TX,Houston
660,masters,Master of Computer Science-Data Communications,Other,https://gs.howard.edu/graduate-programs/computer-science,Communication,FALSE,Computer Science EECS Department,Computer Science,Howard University,R2,DC,"Washington, DC"
661,certificate,Graduate Data Analytics Certificate,Data Analytics,https://www.uidaho.edu/sci/stat/academics/certificate-data-analytics,Data,FALSE,Department of Statistical Science,Mathematics/Statistics,University of Idaho,R2,ID,Moscow
